55P :acc 0.7830 , nmi 0.5654 , ari 0.5788 , f1 0.6502
56Q :acc 0.8049 , nmi 0.5891 , ari 0.6060 , f1 0.6429
56Z :acc 0.6816 , nmi 0.3293 , ari 0.3709 , f1 0.6035
56P :acc 0.7827 , nmi 0.5658 , ari 0.5789 , f1 0.6502
57Q :acc 0.8049 , nmi 0.5891 , ari 0.6060 , f1 0.6429
57Z :acc 0.6818 , nmi 0.3293 , ari 0.3719 , f1 0.6032
57P :acc 0.7830 , nmi 0.5667 , ari 0.5797 , f1 0.6505
58Q :acc 0.8050 , nmi 0.5894 , ari 0.6064 , f1 0.6430
58Z :acc 0.6818 , nmi 0.3298 , ari 0.3726 , f1 0.6033
58P :acc 0.7829 , nmi 0.5666 , ari 0.5798 , f1 0.6504
59Q :acc 0.8051 , nmi 0.5897 , ari 0.6066 , f1 0.6431
59Z :acc 0.6819 , nmi 0.3305 , ari 0.3739 , f1 0.6031
59P :acc 0.7827 , nmi 0.5666 , ari 0.5796 , f1 0.6504
60Q :acc 0.8049 , nmi 0.5892 , ari 0.6064 , f1 0.6430
60Z :acc 0.6809 , nmi 0.3299 , ari 0.3733 , f1 0.6021
60P :acc 0.7825 , nmi 0.5668 , ari 0.5795 , f1 0.6506
61Q :acc 0.8050 , nmi 0.5892 , ari 0.6066 , f1 0.6431
61Z :acc 0.6807 , nmi 0.3304 , ari 0.3740 , f1 0.6018
61P :acc 0.7822 , nmi 0.5667 , ari 0.5791 , f1 0.6505
62Q :acc 0.8052 , nmi 0.5895 , ari 0.6071 , f1 0.6432
62Z :acc 0.6818 , nmi 0.3324 , ari 0.3765 , f1 0.6032
62P :acc 0.7822 , nmi 0.5669 , ari 0.5793 , f1 0.6505
63Q :acc 0.8053 , nmi 0.5902 , ari 0.6073 , f1 0.6433
63Z :acc 0.6829 , nmi 0.3343 , ari 0.3788 , f1 0.6044
63P :acc 0.7824 , nmi 0.5677 , ari 0.5800 , f1 0.6508
64Q :acc 0.8052 , nmi 0.5902 , ari 0.6071 , f1 0.6432
64Z :acc 0.6838 , nmi 0.3359 , ari 0.3809 , f1 0.6053
64P :acc 0.7822 , nmi 0.5673 , ari 0.5798 , f1 0.6506
65Q :acc 0.8050 , nmi 0.5897 , ari 0.6070 , f1 0.6432
65Z :acc 0.6839 , nmi 0.3364 , ari 0.3817 , f1 0.6052
