61Z :acc 0.6583 , nmi 0.3913 , ari 0.4006 , f1 0.6223
61P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
62Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
62Z :acc 0.6607 , nmi 0.3946 , ari 0.4038 , f1 0.6246
62P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
63Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
63Z :acc 0.6601 , nmi 0.3909 , ari 0.4022 , f1 0.6246
63P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
64Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
64Z :acc 0.6537 , nmi 0.3866 , ari 0.3931 , f1 0.6172
64P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
65Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
65Z :acc 0.6607 , nmi 0.3899 , ari 0.4016 , f1 0.6262
65P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
66Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
66Z :acc 0.6501 , nmi 0.3862 , ari 0.3889 , f1 0.6134
66P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
67Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
67Z :acc 0.6625 , nmi 0.3919 , ari 0.4025 , f1 0.6280
67P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
68Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
68Z :acc 0.6504 , nmi 0.3850 , ari 0.3923 , f1 0.6154
68P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
69Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
69Z :acc 0.6595 , nmi 0.3924 , ari 0.3984 , f1 0.6223
69P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
70Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
70Z :acc 0.6504 , nmi 0.3826 , ari 0.3929 , f1 0.6170
70P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
71Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
71Z :acc 0.6561 , nmi 0.3909 , ari 0.3939 , f1 0.6178
71P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
72Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
72Z :acc 0.6583 , nmi 0.3882 , ari 0.4002 , f1 0.6235
72P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
73Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
73Z :acc 0.6531 , nmi 0.3853 , ari 0.3961 , f1 0.6197
73P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
74Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
74Z :acc 0.6570 , nmi 0.3924 , ari 0.3949 , f1 0.6191
74P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
75Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
75Z :acc 0.6534 , nmi 0.3872 , ari 0.3974 , f1 0.6195
75P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
76Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
76Z :acc 0.6537 , nmi 0.3866 , ari 0.3976 , f1 0.6196
76P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
77Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
77Z :acc 0.6583 , nmi 0.3911 , ari 0.3964 , f1 0.6203
77P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
78Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
78Z :acc 0.6516 , nmi 0.3856 , ari 0.3950 , f1 0.6180
78P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
79Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
79Z :acc 0.6555 , nmi 0.3874 , ari 0.3973 , f1 0.6215
79P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
80Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
80Z :acc 0.6531 , nmi 0.3855 , ari 0.3892 , f1 0.6165
80P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
81Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
81Z :acc 0.6528 , nmi 0.3850 , ari 0.3952 , f1 0.6197
81P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
82Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
82Z :acc 0.6525 , nmi 0.3903 , ari 0.3947 , f1 0.6183
82P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
83Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
83Z :acc 0.6628 , nmi 0.3931 , ari 0.4021 , f1 0.6266
83P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
84Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
84Z :acc 0.6471 , nmi 0.3829 , ari 0.3882 , f1 0.6144
84P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
85Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
85Z :acc 0.6622 , nmi 0.3906 , ari 0.4012 , f1 0.6264
85P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
86Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
86Z :acc 0.6438 , nmi 0.3839 , ari 0.3826 , f1 0.6093
86P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
87Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
87Z :acc 0.6567 , nmi 0.3864 , ari 0.3979 , f1 0.6230
87P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
88Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
88Z :acc 0.6522 , nmi 0.3866 , ari 0.3909 , f1 0.6178
88P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
89Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
89Z :acc 0.6583 , nmi 0.3903 , ari 0.3978 , f1 0.6231
89P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
90Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
90Z :acc 0.6552 , nmi 0.3859 , ari 0.3972 , f1 0.6210
