72P :acc 0.8668 , nmi 0.7861 , ari 0.7400 , f1 0.8678
73Q :acc 0.8678 , nmi 0.7885 , ari 0.7420 , f1 0.8689
73Z :acc 0.5982 , nmi 0.5074 , ari 0.4078 , f1 0.4868
73P :acc 0.8671 , nmi 0.7867 , ari 0.7406 , f1 0.8681
74Q :acc 0.8680 , nmi 0.7890 , ari 0.7427 , f1 0.8692
74Z :acc 0.5987 , nmi 0.5072 , ari 0.4074 , f1 0.4876
74P :acc 0.8674 , nmi 0.7873 , ari 0.7412 , f1 0.8684
75Q :acc 0.8681 , nmi 0.7892 , ari 0.7429 , f1 0.8693
75Z :acc 0.5988 , nmi 0.5060 , ari 0.4060 , f1 0.4880
75P :acc 0.8677 , nmi 0.7879 , ari 0.7417 , f1 0.8688
76Q :acc 0.8683 , nmi 0.7894 , ari 0.7432 , f1 0.8695
76Z :acc 0.5990 , nmi 0.5061 , ari 0.4057 , f1 0.4882
76P :acc 0.8681 , nmi 0.7887 , ari 0.7427 , f1 0.8693
77Q :acc 0.8688 , nmi 0.7900 , ari 0.7441 , f1 0.8700
77Z :acc 0.5986 , nmi 0.5057 , ari 0.4046 , f1 0.4878
77P :acc 0.8686 , nmi 0.7893 , ari 0.7436 , f1 0.8698
78Q :acc 0.8688 , nmi 0.7901 , ari 0.7441 , f1 0.8700
78Z :acc 0.5991 , nmi 0.5073 , ari 0.4054 , f1 0.4881
78P :acc 0.8688 , nmi 0.7898 , ari 0.7441 , f1 0.8701
79Q :acc 0.8689 , nmi 0.7904 , ari 0.7444 , f1 0.8701
79Z :acc 0.5988 , nmi 0.5072 , ari 0.4052 , f1 0.4876
79P :acc 0.8690 , nmi 0.7901 , ari 0.7444 , f1 0.8703
80Q :acc 0.8688 , nmi 0.7905 , ari 0.7443 , f1 0.8700
80Z :acc 0.5993 , nmi 0.5085 , ari 0.4062 , f1 0.4878
80P :acc 0.8692 , nmi 0.7904 , ari 0.7448 , f1 0.8705
81Q :acc 0.8690 , nmi 0.7908 , ari 0.7447 , f1 0.8702
81Z :acc 0.6002 , nmi 0.5108 , ari 0.4074 , f1 0.4886
81P :acc 0.8693 , nmi 0.7906 , ari 0.7450 , f1 0.8706
82Q :acc 0.8690 , nmi 0.7908 , ari 0.7447 , f1 0.8702
82Z :acc 0.6007 , nmi 0.5131 , ari 0.4085 , f1 0.4892
82P :acc 0.8694 , nmi 0.7908 , ari 0.7452 , f1 0.8707
83Q :acc 0.8691 , nmi 0.7909 , ari 0.7449 , f1 0.8703
83Z :acc 0.6005 , nmi 0.5142 , ari 0.4085 , f1 0.4890
83P :acc 0.8696 , nmi 0.7912 , ari 0.7456 , f1 0.8709
84Q :acc 0.8694 , nmi 0.7915 , ari 0.7455 , f1 0.8706
84Z :acc 0.6011 , nmi 0.5156 , ari 0.4097 , f1 0.4894
84P :acc 0.8696 , nmi 0.7916 , ari 0.7460 , f1 0.8709
85Q :acc 0.8696 , nmi 0.7920 , ari 0.7461 , f1 0.8709
85Z :acc 0.6021 , nmi 0.5180 , ari 0.4113 , f1 0.4903
85P :acc 0.8700 , nmi 0.7922 , ari 0.7467 , f1 0.8714
86Q :acc 0.8698 , nmi 0.7923 , ari 0.7464 , f1 0.8711
86Z :acc 0.6033 , nmi 0.5208 , ari 0.4134 , f1 0.4912
86P :acc 0.8704 , nmi 0.7927 , ari 0.7473 , f1 0.8717
87Q :acc 0.8699 , nmi 0.7925 , ari 0.7466 , f1 0.8712
87Z :acc 0.6037 , nmi 0.5217 , ari 0.4145 , f1 0.4918
87P :acc 0.8707 , nmi 0.7932 , ari 0.7479 , f1 0.8721
88Q :acc 0.8700 , nmi 0.7928 , ari 0.7468 , f1 0.8713
88Z :acc 0.6038 , nmi 0.5231 , ari 0.4153 , f1 0.4921
88P :acc 0.8710 , nmi 0.7939 , ari 0.7484 , f1 0.8724
89Q :acc 0.8703 , nmi 0.7933 , ari 0.7474 , f1 0.8716
89Z :acc 0.6044 , nmi 0.5251 , ari 0.4167 , f1 0.4929
89P :acc 0.8712 , nmi 0.7941 , ari 0.7488 , f1 0.8726
90Q :acc 0.8704 , nmi 0.7934 , ari 0.7476 , f1 0.8717
90Z :acc 0.6051 , nmi 0.5271 , ari 0.4182 , f1 0.4936
90P :acc 0.8712 , nmi 0.7943 , ari 0.7489 , f1 0.8726
91Q :acc 0.8705 , nmi 0.7937 , ari 0.7479 , f1 0.8718
91Z :acc 0.6046 , nmi 0.5270 , ari 0.4178 , f1 0.4933
91P :acc 0.8714 , nmi 0.7950 , ari 0.7495 , f1 0.8730
92Q :acc 0.8702 , nmi 0.7936 , ari 0.7476 , f1 0.8715
92Z :acc 0.6037 , nmi 0.5263 , ari 0.4168 , f1 0.4927
92P :acc 0.8714 , nmi 0.7951 , ari 0.7496 , f1 0.8730
93Q :acc 0.8704 , nmi 0.7941 , ari 0.7480 , f1 0.8717
93Z :acc 0.6035 , nmi 0.5261 , ari 0.4168 , f1 0.4926
93P :acc 0.8714 , nmi 0.7952 , ari 0.7496 , f1 0.8730
94Q :acc 0.8705 , nmi 0.7942 , ari 0.7481 , f1 0.8718
94Z :acc 0.6033 , nmi 0.5267 , ari 0.4171 , f1 0.4927
94P :acc 0.8716 , nmi 0.7954 , ari 0.7499 , f1 0.8732
95Q :acc 0.8709 , nmi 0.7949 , ari 0.7489 , f1 0.8723
