acc 0.7200, nmi 0.7049, ari 0.6114, f1 0.6877
acc 0.7204, nmi 0.7050, ari 0.6116, f1 0.6880
acc 0.7207, nmi 0.7057, ari 0.6123, f1 0.6880
acc 0.7202, nmi 0.7051, ari 0.6116, f1 0.6877
acc 0.7206, nmi 0.7054, ari 0.6120, f1 0.6878
acc 0.7204, nmi 0.7054, ari 0.6118, f1 0.6876
acc 0.7207, nmi 0.7059, ari 0.6122, f1 0.6879
acc 0.7212, nmi 0.7060, ari 0.6124, f1 0.6881
acc 0.7210, nmi 0.7060, ari 0.6122, f1 0.6882
acc 0.7215, nmi 0.7062, ari 0.6126, f1 0.6884
acc 0.7215, nmi 0.7064, ari 0.6125, f1 0.6885
acc 0.7215, nmi 0.7064, ari 0.6125, f1 0.6883
acc 0.7216, nmi 0.7064, ari 0.6125, f1 0.6886
acc 0.7222, nmi 0.7073, ari 0.6135, f1 0.6884
acc 0.7211, nmi 0.7063, ari 0.6124, f1 0.6883
acc 0.7229, nmi 0.7080, ari 0.6141, f1 0.6887
acc 0.7189, nmi 0.7049, ari 0.6103, f1 0.6952
acc 0.7234, nmi 0.7083, ari 0.6146, f1 0.6890
acc 0.7216, nmi 0.7069, ari 0.6130, f1 0.6881
acc 0.7190, nmi 0.7054, ari 0.6110, f1 0.6867
acc 0.7222, nmi 0.7079, ari 0.6140, f1 0.6881
acc 0.7207, nmi 0.7064, ari 0.6122, f1 0.6879
acc 0.7188, nmi 0.7045, ari 0.6099, f1 0.6876
acc 0.7208, nmi 0.7072, ari 0.6131, f1 0.6866
acc 0.7212, nmi 0.7072, ari 0.6133, f1 0.6870
acc 0.7192, nmi 0.7046, ari 0.6101, f1 0.6883
