58Q :acc 0.6968 , nmi 0.3598 , ari 0.3587 , f1 0.6995
58Z :acc 0.6667 , nmi 0.3384 , ari 0.3238 , f1 0.6562
58P :acc 0.6958 , nmi 0.3584 , ari 0.3609 , f1 0.6983
59Q :acc 0.6958 , nmi 0.3585 , ari 0.3577 , f1 0.6984
59Z :acc 0.6665 , nmi 0.3354 , ari 0.3232 , f1 0.6570
59P :acc 0.6966 , nmi 0.3591 , ari 0.3623 , f1 0.6989
60Q :acc 0.6961 , nmi 0.3589 , ari 0.3583 , f1 0.6987
60Z :acc 0.6687 , nmi 0.3358 , ari 0.3240 , f1 0.6608
60P :acc 0.6966 , nmi 0.3591 , ari 0.3626 , f1 0.6988
61Q :acc 0.6951 , nmi 0.3586 , ari 0.3572 , f1 0.6977
61Z :acc 0.6744 , nmi 0.3390 , ari 0.3293 , f1 0.6686
61P :acc 0.6968 , nmi 0.3596 , ari 0.3634 , f1 0.6990
62Q :acc 0.6953 , nmi 0.3595 , ari 0.3581 , f1 0.6980
62Z :acc 0.6793 , nmi 0.3432 , ari 0.3347 , f1 0.6751
62P :acc 0.6953 , nmi 0.3579 , ari 0.3612 , f1 0.6976
63Q :acc 0.6951 , nmi 0.3583 , ari 0.3576 , f1 0.6976
63Z :acc 0.6808 , nmi 0.3433 , ari 0.3356 , f1 0.6773
63P :acc 0.6953 , nmi 0.3581 , ari 0.3612 , f1 0.6977
64Q :acc 0.6944 , nmi 0.3575 , ari 0.3566 , f1 0.6969
64Z :acc 0.6818 , nmi 0.3435 , ari 0.3364 , f1 0.6789
64P :acc 0.6953 , nmi 0.3581 , ari 0.3616 , f1 0.6975
65Q :acc 0.6951 , nmi 0.3587 , ari 0.3581 , f1 0.6977
65Z :acc 0.6823 , nmi 0.3431 , ari 0.3367 , f1 0.6797
65P :acc 0.6951 , nmi 0.3583 , ari 0.3615 , f1 0.6974
66Q :acc 0.6944 , nmi 0.3583 , ari 0.3570 , f1 0.6971
66Z :acc 0.6852 , nmi 0.3461 , ari 0.3405 , f1 0.6834
66P :acc 0.6936 , nmi 0.3575 , ari 0.3596 , f1 0.6960
67Q :acc 0.6944 , nmi 0.3582 , ari 0.3570 , f1 0.6970
67Z :acc 0.6887 , nmi 0.3486 , ari 0.3448 , f1 0.6875
67P :acc 0.6939 , nmi 0.3584 , ari 0.3604 , f1 0.6962
68Q :acc 0.6936 , nmi 0.3576 , ari 0.3564 , f1 0.6962
68Z :acc 0.6907 , nmi 0.3509 , ari 0.3476 , f1 0.6898
68P :acc 0.6941 , nmi 0.3583 , ari 0.3608 , f1 0.6964
69Q :acc 0.6941 , nmi 0.3579 , ari 0.3573 , f1 0.6966
69Z :acc 0.6907 , nmi 0.3511 , ari 0.3475 , f1 0.6899
69P :acc 0.6926 , nmi 0.3565 , ari 0.3587 , f1 0.6949
70Q :acc 0.6931 , nmi 0.3573 , ari 0.3564 , f1 0.6957
70Z :acc 0.6902 , nmi 0.3501 , ari 0.3469 , f1 0.6894
70P :acc 0.6924 , nmi 0.3564 , ari 0.3585 , f1 0.6947
71Q :acc 0.6931 , nmi 0.3577 , ari 0.3564 , f1 0.6957
71Z :acc 0.6904 , nmi 0.3501 , ari 0.3470 , f1 0.6899
71P :acc 0.6919 , nmi 0.3560 , ari 0.3578 , f1 0.6942
72Q :acc 0.6926 , nmi 0.3576 , ari 0.3561 , f1 0.6953
72Z :acc 0.6897 , nmi 0.3492 , ari 0.3461 , f1 0.6893
72P :acc 0.6919 , nmi 0.3570 , ari 0.3585 , f1 0.6942
73Q :acc 0.6919 , nmi 0.3572 , ari 0.3557 , f1 0.6945
73Z :acc 0.6919 , nmi 0.3516 , ari 0.3495 , f1 0.6916
73P :acc 0.6909 , nmi 0.3555 , ari 0.3572 , f1 0.6932
74Q :acc 0.6924 , nmi 0.3587 , ari 0.3568 , f1 0.6951
74Z :acc 0.6931 , nmi 0.3536 , ari 0.3514 , f1 0.6932
74P :acc 0.6897 , nmi 0.3538 , ari 0.3554 , f1 0.6920
75Q :acc 0.6912 , nmi 0.3570 , ari 0.3551 , f1 0.6938
75Z :acc 0.6931 , nmi 0.3543 , ari 0.3516 , f1 0.6934
75P :acc 0.6899 , nmi 0.3540 , ari 0.3560 , f1 0.6922
76Q :acc 0.6912 , nmi 0.3569 , ari 0.3552 , f1 0.6938
76Z :acc 0.6934 , nmi 0.3548 , ari 0.3523 , f1 0.6937
76P :acc 0.6892 , nmi 0.3536 , ari 0.3553 , f1 0.6914
77Q :acc 0.6914 , nmi 0.3583 , ari 0.3563 , f1 0.6941
